"category","category_name","description"
"IAB7-23","Headaches/Migraines","Information on tension headaches and severe migraines. Covers trigger identification (sunlight, stress, skipped meals), OTC pain relievers (Saridon, Disprin), prescription triptans, and Ayurvedic stress-relief balms (Zandu Balm, Amrutanjan)."
"IAB7-24","Heart Disease","Content on cardiovascular health and cardiology. Covers the high incidence of early-onset coronary artery disease in Indians, ECG/Echo diagnostics, angioplasty, bypass surgery (CABG) at hospitals like Medanta, hypertension, and heart-healthy cooking oils."
"IAB7-25","Herbs for Health","Information on botanical and herbal remedies. Deeply integrated into the Indian lifestyle, covering medicinal plants like Ashwagandha (stress), Tulsi (immunity), Neem (antibacterial), Giloy, and the commercial market for herbal supplements (Himalaya, Patanjali)."
"IAB7-26","Holistic Healing","Content regarding whole-body wellness approaches. Covers the integration of mind, body, and spirit through practices like Vipassana meditation, Reiki, Chakra healing, Isha Foundation programs, and wellness retreats in Rishikesh and Kerala."
"IAB7-27","IBS/Crohn's Disease","Information on inflammatory and irritable bowel conditions. Covers managing digestive distress, tailored Indian diets (reducing complex lentils/dairy), colonoscopy diagnostics, gastroenterology, and gut microbiome health (probiotics/curd)."
"IAB7-28","Incest/Abuse Support","Resources for survivors of domestic violence and sexual abuse. Covers legal protections under the POCSO and Domestic Violence Acts, NGO helplines (Snehalaya, Majlis), trauma counseling, and navigating the Indian socio-legal justice system safely."
"IAB7-29","Incontinence","Information on loss of bladder or bowel control. Discusses geriatric care, the growing adult diaper market in India (Friends, KareIn), pelvic floor exercises (Kegels), urology consultations, and breaking the embarrassment surrounding the condition."
"IAB7-30","Infertility","Content regarding reproductive challenges and assisted conception. Covers the booming Indian IVF and surrogacy sector (Nova IVF, Indira IVF), the ART (Regulation) Act, dealing with societal pressures in Indian families, PCOS-related infertility, and semen analysis."
"IAB7-31","Men's Health","Information specific to male physical and mental wellness. Covers prostate health, male pattern baldness (androgenetic alopecia), erectile dysfunction, fitness supplements, and breaking the 'macho' stereotype to encourage men seeking mental health therapy."
"IAB7-32","Nutrition","Content focused on dietetics and healthy eating. Covers Indian macronutrient tracking, balancing vegetarian diets with adequate protein (paneer, soya, lentils), fortified foods, FSSAI regulations, and combating both malnutrition and urban obesity."
"IAB7-33","Orthopedics","Information on the musculoskeletal system. Covers bone health, Vitamin D/Calcium deficiencies widespread in India, joint replacements (knee/hip), spine surgeries, osteoporosis management, and sports injuries rehabilitation."
"IAB7-34","Panic/Anxiety Disorders","Content on managing severe anxiety and panic attacks. Discusses identifying triggers, cognitive behavioral therapy (CBT), anxiolytic medications, breathing techniques, and dealing with academic/corporate performance anxiety in India."
"IAB7-35","Pediatrics","Information regarding infant and child healthcare. Covers the Indian Academy of Pediatrics (IAP) immunization schedules, growth charting, childhood obesity, treating recurrent monsoon fevers (dengue, malaria), and pediatric nutrition."
"IAB7-36","Physical Therapy","Content on physiotherapy and rehabilitation. Covers post-operative care, neuro-rehabilitation, sports physiotherapy, ergonomic postural corrections for IT workers, and traditional Indian bone-setting practices transitioning to clinical physio."
"IAB7-37","Psychology/Psychiatry","Broad mental health professional resources. Covers clinical diagnosis, the DSM-5/ICD-11 frameworks, differences between psychologists and psychiatrists, the Mental Health Care Act of India, and the rising availability of online therapy platforms."
"IAB7-38","Senior Health","Information focused on geriatric care. Covers age-related ailments, fall prevention, managing multiple chronic medications (polypharmacy), dementia/Alzheimer's care, and comprehensive senior citizen health check-up packages in Indian diagnostic labs."
"IAB7-39","Sexuality","Content on sexual health, orientation, and education. Covers navigating sex education in India, safe sex practices, contraceptives (condoms, i-Pill), STD prevention, and the evolving discourse around LGBTQ+ health and rights post-Section 377 reading down."
"IAB7-40","Sleep Disorders","Information on insomnia, sleep apnea, and rest issues. Covers the impact of modern urban lifestyles, CPAP machines for obstructive sleep apnea (common due to obesity), sleep hygiene, and melatonin supplements in the Indian market."
"IAB7-41","Smoking Cessation","Guidance on quitting tobacco use. Highly relevant given the massive consumption of bidis, cigarettes, and smokeless tobacco (Gutka, Khaini) in India. Covers nicotine replacement therapy (NRT gums like Nicotex), national quitline services, and oral cancer risks."
"IAB7-42","Substance Abuse","Information on addiction recovery and rehabilitation. Covers de-addiction centers (Nasha Mukti Kendras), managing alcohol dependency, tackling the opioid/synthetic drug crisis (e.g., in Punjab), and counseling support groups like AA."
"IAB7-43","Thyroid Disease","Content regarding hypo- and hyper-thyroidism. Highly prevalent in Indian women. Covers TSH/T3/T4 blood tests, levothyroxine daily dosages (Thyronorm), dietary iodine, and managing weight fluctuations associated with thyroid imbalances."
"IAB7-44","Weight Loss","Information on obesity management and slimming. Covers diet plans (Keto, Intermittent Fasting), bariatric surgery, fitness apps (HealthifyMe), culturally adapted low-calorie Indian recipes, and breaking away from unregulated 'slimming pills'."
"IAB7-45","Women's Health","Comprehensive content on female-specific healthcare. Covers menstrual hygiene (sanitary pads, cups), PCOD/PCOS (highly prevalent in India), gynecology, menopause management, maternal mortality reduction, and breast/cervical cancer screenings."
"IAB8","Food & Drink","Comprehensive coverage of gastronomy, beverages, and culinary culture. In India, this spans diverse regional cuisines, street food culture, home cooking (ghar ka khana), the booming food delivery ecosystem (Zomato, Swiggy), FMCG food products, grocery commerce (Zepto, Blinkit), and culinary festivals."
"IAB8-1","American Cuisine","Content regarding US-origin food adapted to the Indian market. Covers the massive fast-food franchise ecosystem (McDonald's, Burger King, KFC), gourmet burger cafes in tier-1 cities, hot dogs, fried chicken, and the integration of localized variants like the McAloo Tikki."
"IAB8-2","Barbecues & Grilling","Information on grilled, roasted, and smoked foods. In the Indian context, this heavily features Tandoori cooking, live grill buffets (like Barbeque Nation, Absolute Barbecues), seekh kebabs, paneer tikka, charcoal grilling, and marinades using mustard oil and hung curd."
"IAB8-3","Cajun/Creole","Content focused on Louisianan and Southern US cuisine. While a niche segment in India, it covers specialized continental restaurants in metropolitan areas offering jambalaya, gumbo, cajun-spiced potato wedges, and blackened fish."
"IAB8-4","Chinese Cuisine","Information on the immensely popular 'Desi Chinese' or Indo-Chinese food culture. Covers street-side wok cooking, Hakka noodles, Gobi Manchurian, Schezwan fried rice, sweet corn soup, momos, and premium authentic Pan-Asian dining experiences in India."
"IAB8-5","Cocktails/Beer","Content concerning alcoholic beverages, mixology, and pub culture. Covers the Indian craft beer revolution (Bira 91, Toit), commercial lagers (Kingfisher), restobars, gin-and-tonic trends using Indian craft gins (Greater Than, Stranger & Sons), and nightlife drinking culture."
"IAB8-6","Coffee/Tea","Information on cafe culture and traditional hot beverages. Deeply ingrained in Indian daily life, covering street-side 'tapri' Masala Chai, South Indian filter coffee (kaapi) in brass tumblers, premium estate teas (Darjeeling, Assam), and the modern cafe chain ecosystem (Third Wave, Blue Tokai)."
"IAB8-7","Cuisine-Specific","Content dedicated to regional and traditional cuisines. Represents the vast Indian culinary diversity, including Punjabi dhabas (makki ki roti, butter chicken), Chettinad spices, Bengali seafood and mustard curries, Gujarati thalis, Awadhi biryanis, and Goan vindaloo."
"IAB8-8","Desserts & Baking","Information on sweets, confectionery, and baked goods. Covers traditional Indian mithai (Gulab Jamun, Kaju Katli, Rasgulla, Jalebi) highly sought after during Diwali and weddings, as well as the booming urban home-baking trend, patisseries, eggless cakes, and artisanal chocolates."
"IAB8-9","Dining Out","Content focused on restaurant discovery and eating out. Covers food reviews, cloud kitchens, fine dining, family restaurants, street food hubs (like Chandni Chowk or Khao Gali), table reservation platforms (Dineout, EazyDiner), and weekend culinary outings."
"IAB8-10","Food Allergies","Guidance on navigating dietary restrictions and hypersensitivities. Covers the growing awareness in India regarding celiac disease (gluten-free flours like ragi and besan replacing wheat), lactose intolerance, peanut allergies, and cross-contamination in commercial kitchens."
"IAB8-11","French Cuisine","Information on classic French culinary techniques and gastronomy. Focuses on premium European dining in major Indian cities, featuring authentic boulangeries, croissants, macarons, artisanal cheeses, and high-end culinary plating."
"IAB8-12","Health/Lowfat Cooking","Content regarding nutritious, calorie-conscious, and holistic eating. Covers the resurgence of Indian superfoods and millets (jowar, bajra, amaranth), cold-pressed oils, air-frying recipes, the Sattvic diet, keto-friendly Indian meals, and reducing refined sugar and trans-fats."
"IAB8-13","Italian Cuisine","Information on pasta, pizza, and Mediterranean cooking. Extremely popular in India, ranging from localized street-side sweet-corn pizzas to authentic Neapolitan wood-fired pizzerias, artisanal pasta making, risottos, and the widespread use of oregano and chili flakes."
"IAB8-14","Japanese Cuisine","Content concerning sushi, ramen, and Japanese gastronomy. A rapidly growing trend among urban Indian millennials, covering izakayas, tempura, matcha-flavored desserts, and the adaptation of vegetarian sushi rolls (using paneer or avocado)."
"IAB8-15","Mexican Cuisine","Information on Tex-Mex and traditional Mexican food. Highly compatible with the Indian palate due to shared flavor profiles (cumin, chili, coriander). Covers tacos, nachos with salsa and queso, burritos, fajitas, and guacamole."
"IAB8-16","Vegan","Content focused on strictly plant-based diets excluding all animal products. A growing urban lifestyle choice in India, covering dairy alternatives (almond/oat/soy milk), plant-based mock meats (GoodDot, Blue Tribe), vegan baking, and replacing traditional ghee with cold-pressed plant oils."
"IAB8-17","Vegetarian","Information concerning meat-free diets. Deeply rooted in Indian culture and religion. Covers 'Shudh Shakahari' (pure veg) dining, Jain food protocols (no onion, garlic, or root vegetables), plant-protein sources (paneer, dal, soya chunks), and expansive vegetarian thalis."
"IAB8-18","Wine","Content regarding viticulture, wine tasting, and pairings. Covers the emerging Indian wine industry centered in Nashik (Sula Vineyards, Fratelli, Grover Zampa), understanding grape varietals (Shiraz, Chenin Blanc), wine tourism, and pairing wines with spicy Indian food."
"IAB9","Hobbies & Interests","Comprehensive content covering personal pastimes, creative pursuits, and recreational activities. In India, this spans traditional cultural arts, the massive mobile gaming community, modern DIY crafting trends, literary pursuits, and the rapidly growing pop-culture fandom and creator economy."
"IAB9-1","Art/Technology","Content blending creative expression with digital tools. Covers the Indian generative AI art scene, digital illustrations on tablets, 3D printing in tech hubs like Bengaluru, the intersection of tech and design, and creating digital assets for gaming and animation."
"IAB9-2","Arts & Crafts","Information on manual crafting and decorative arts. Highly relevant in India, covering traditional arts (Rangoli, Kolam, Madhubani, Warli), terracotta pottery, paper crafts, DIY festive decorations (diyas and torans), and the thriving Instagram small-business craft community."
"IAB9-3","Beadwork","Content focused on creating items using beads and thread. Includes traditional Indian bead embroidery (Zardosi, Banjara tribal work), making mangalsutras, DIY imitation jewelry, and embellishing bridal lehengas and sarees with glass beads and sequins."
"IAB9-4","Birdwatching","Information regarding the observation and photography of avifauna. Covers ornithology enthusiasts visiting Indian sanctuaries (like Bharatpur, Chilika Lake, or Ranganathittu), spotting migratory birds, tracking monsoonal species like the Pied Cuckoo, and utilizing binoculars/telephoto lenses."
"IAB9-5","Board Games/Puzzles","Content on tabletop games and mental puzzles. Covers traditional Indian games like Carrom, Ludo (including its massive digital app presence like Ludo King), Snakes and Ladders (Moksha Patam), and the modern urban trend of board game cafes featuring strategy games."
"IAB9-6","Candle & Soap Making","Information on crafting handmade illuminants and organic toiletries. Covers the massive spike in DIY diya and scented candle making during Diwali, as well as artisanal cold-process soaps utilizing Ayurvedic ingredients like neem, sandalwood, and multani mitti."
"IAB9-7","Card Games","Content regarding playing cards and trick-taking games. Deeply embedded in Indian social culture, covering Teen Patti (Indian Flush) and Rummy (highly popular both in physical card parties during Diwali and on digital gaming apps like Junglee Rummy)."
"IAB9-8","Chess","Information on the strategy board game. Highlights India's historical connection as the birthplace of chess (Chaturanga), following Grandmasters like Viswanathan Anand and Praggnanandhaa, chess academies in Tamil Nadu, and online chess platforms."
"IAB9-9","Cigars","Content focused on premium cigar smoking and tobacco appreciation. A niche luxury hobby in India, covering Cuban imports, indigenous Trichy cigars, humidor maintenance, and cigar pairing events at elite clubs with single malt whiskies."
"IAB9-10","Collecting","Information on acquiring and curating specific items. Covers the Indian hobbyist market for vintage Bollywood posters, antique brassware, old matchbox labels, rare books, and the broader culture of preserving historical memorabilia."
"IAB9-11","Comic Books","Content regarding graphic novels and comic illustration. Covers the nostalgia of Indian comics (Amar Chitra Katha, Tinkle's Suppandi, Raj Comics' Nagraj), manga and anime fandoms, graphic novel publishing, and the massive popularity of Comic Con India."
"IAB9-12","Drawing/Sketching","Information on two-dimensional visual art using pencils, charcoal, or ink. Covers the massive popularity of Mandala art on Indian social media, portrait sketching, architectural drafting, and fundamental art education in hobby classes."
"IAB9-13","Freelance Writing","Content focused on independent journalism, content creation, and copywriting. Highlights the booming Indian gig economy, writing for digital media, SEO blogging, vernacular language translation, and navigating platforms like Upwork or Fiverr."
"IAB9-14","Genealogy","Information on tracing family ancestry and lineage. In India, this involves tracing gotras (clan lineages), utilizing historical Hindu genealogy registers maintained by Pandas at pilgrimage sites (like Haridwar), and preserving oral family histories."
"IAB9-15","Getting Published","Guidance for aspiring authors on releasing their work. Covers the Indian publishing industry (Penguin Random House India, Rupa), manuscript pitching, literary agents, the Jaipur Literature Festival, and the rise of self-publishing platforms like Notion Press."
"IAB9-16","Guitar","Content related to playing the acoustic, electric, or bass guitar. Covers learning Bollywood acoustic chord progressions, western classical training (Trinity College exams in India), guitar tabs, and integrating guitar with Indian classical music."
"IAB9-17","Home Recording","Information on DIY audio production and studio setups. Covers the indie music revolution in India, bedroom pop producers, podcast recording equipment (condenser mics, audio interfaces), mixing software (FL Studio, Logic Pro), and uploading to Spotify."
"IAB9-18","Investors & Patents","Content on hobbyist investing, startup incubation, and intellectual property. Fueled by the 'Shark Tank India' culture, covering angel investing for retail investors, filing patents with the Indian Patent Office, and entrepreneurial side-hustles."
"IAB9-19","Jewelry Making","Information on designing and crafting personal adornments. Covers the booming DIY and small business sector of oxidized silver jewelry, terracotta pieces, silk thread bangles, and creating imitation Kundan and Polki sets for the wedding season."
"IAB9-20","Magic & Illusion","Content regarding stage magic, sleight of hand, and mentalism. Covers the legacy of Indian street magic (Jadu) and legends like P.C. Sorcar, learning card tricks, illusionist performances, and the modern psychological illusionist community."
"IAB9-21","Needlework","Information on sewing, embroidery, and textile arts. Deeply rooted in Indian heritage, covering regional styles like Lucknowi Chikankari, Punjabi Phulkari, Bengali Kantha stitch, cross-stitching, and home tailoring using sewing machines."
"IAB9-22","Painting","Content focused on applying paint to canvas, paper, or walls. Covers working with watercolors, acrylics, and oils. Includes hobbyist workshops in Indian metros, canvas texturing, and traditional folk painting adaptations."
"IAB9-23","Photography","Information on capturing images using cameras. A massive hobby in India, covering DSLR/mirrorless gear, street photography in vibrant Indian bazaars, pre-wedding couple shoots, wildlife photography in national parks, and smartphone camera tips."
"IAB9-24","Radio","Content regarding amateur broadcasting and radio listening. Covers the Ham Radio (Amateur Radio) community in India, DXing (receiving distant signals), listening to nostalgic stations like Vividh Bharati, and community FM broadcasting."
"IAB9-25","Roleplaying Games","Information on tabletop roleplaying and live-action roleplay (LARP). Covers the growing niche of Dungeons & Dragons (D&D) campaigns in Indian metropolitan cities, Dungeon Master guides, dice collecting, and cosplay culture."
"IAB9-26","Sci-Fi & Fantasy","Content focused on speculative fiction and fantastical universes. Covers the massive Indian readership for mythological fantasy (like the Shiva Trilogy), sci-fi cinema (Kalki 2898 AD), fandom wikis, and world-building discussions."
"IAB9-27","Scrapbooking","Information on preserving personal history in decorated albums. Covers school memory projects, the massive urban trend of bullet journaling (bujo), utilizing washi tapes, calligraphy, and aesthetic stationary hauls."
"IAB9-28","Screenwriting","Guidance on writing scripts for film, television, and digital media. Covers pitching to Bollywood production houses, formatting scripts for OTT web series (Netflix/Prime India), character arcs, and aspirants targeting institutes like FTII."
"IAB9-29","Stamps & Coins","Content on philately (stamps) and numismatics (coins/currency). Covers collecting commemorative releases from India Post, preserving pre-independence British India coins, ancient dynastic currencies, and numismatic society exhibitions."
"IAB9-30","Video & Computer Games","Information on electronic gaming. A massive cultural force in India, covering mobile esports (BGMI, Free Fire), PC gaming (Valorant, CS:GO), console gaming (PlayStation, Xbox), gaming cafe culture, game streaming on YouTube, and hardware building."
"IAB9-31","Woodworking","Content regarding carpentry, carving, and building with wood. Covers DIY furniture making, restoring antique Indian teak/rosewood furniture, traditional carving techniques (like Saharanpur woodcraft), and the modern epoxy resin-wood art trend."
"IAB10","Home & Garden","Comprehensive content covering domestic living, property maintenance, and household lifestyle. In India, this encompasses everything from managing modern high-rise apartments in metros to maintaining independent bungalows, integrating Vastu Shastra principles, urban gardening, and seasonal home preparation (like monsoon waterproofing or summer cooling)."
"IAB10-1","Appliances","Content focused on white goods and household electronics. Covers essential Indian appliances such as RO water purifiers (Kent, Aquaguard), heavy-duty mixer grinders for masalas (Preethi, Sujata), wet grinders for idli/dosa batter, air conditioners (Voltas, Daikin) with voltage stabilizers, and top-load/front-load washing machines."
"IAB10-2","Entertaining","Information regarding hosting guests and domestic social events. Covers Indian house party culture, hosting festive gatherings (Diwali taash parties, Holi milans), Kitty parties, traditional housewarming ceremonies (Griha Pravesh), arranging buffet setups, and specialized serveware like copper handis and brass thalis."
"IAB10-3","Environmental Safety","Content on indoor health, hazard prevention, and sanitation. Highly relevant to urban India, covering HEPA air purifiers to combat high AQI/smog, RO water filtration for hard borewell water, mosquito repellents and nets (dengue/malaria prevention), termite treatments, and mold/dampness control during the monsoon."
"IAB10-4","Gardening","Information on cultivating domestic flora and urban horticulture. Covers the massive trend of balcony and terrace gardens in Indian apartments, growing auspicious plants (Tulsi, Money Plant), urban kitchen gardens (curry leaves, green chilies, coriander), using cocopeat, and terracotta pots."
"IAB10-5","Home Repair","Content regarding domestic maintenance and fixing structural or functional issues. Covers hiring local handymen via platforms like Urban Company, plumbing fixes for overhead water tanks, electrical rewiring, monsoon terrace waterproofing (using products like Dr. Fixit), and patching peeling wall putty."
"IAB10-6","Home Theater","Information on domestic audio-visual entertainment setups. Covers the integration of large smart TVs, soundbars, and surround sound systems in Indian living rooms. Includes acoustics for media rooms, setting up projectors for OTT binge-watching or IPL cricket matches, and smart home automation (Alexa/Google Home)."
"IAB10-7","Interior Decorating","Content focused on interior design, furnishings, and home aesthetics. Covers Indian interior design trends, integrating Vastu Shastra for spatial harmony, modular kitchen designs (Godrej Interio), traditional teakwood or cane furniture, ethnic furnishings (Jaipuri block prints, Kashmiri carpets), and brass decor artifacts."
"IAB10-8","Landscaping","Information on designing and maintaining outdoor property grounds. Covers maintaining lawns in independent houses or gated communities, installing gazebos, planting drought-resistant indigenous shrubs, setting up sprinkler systems, and utilizing regional stones (like Kota or Kadappa) for pathways."
"IAB10-9","Remodeling & Construction","Content regarding property renovation, civil work, and structural upgrades. Covers the Indian home construction ecosystem, hiring local contractors (thekedars), selecting building materials (Ambuja Cement, TMT bars), flooring choices (Italian marble, granite, vitrified tiles), and bathroom/kitchen overhauls."
"IAB11","Law, Gov't & Politics","Comprehensive coverage of the Indian judicial system, public administration, and political landscape. Encompasses the Supreme Court of India, parliamentary proceedings (Lok Sabha and Rajya Sabha), the Constitution of India, public policy making, federalism, civic duties, and the interplay between state and central governments."
"IAB11-1","Immigration","Content regarding visas, citizenship, and cross-border movement. In the Indian context, this heavily focuses on emigration of the Indian diaspora (NRIs) seeking US H-1B visas, Canadian Express Entry PR, or UK student visas. Also covers domestic policies like the Citizenship Amendment Act (CAA), OCI/PIO card regulations, and the Passport Seva system."
"IAB11-2","Legal Issues","Information on civil, criminal, and corporate law within the Indian justice system. Covers the transition from the Indian Penal Code (IPC) to the Bharatiya Nyaya Sanhita (BNS), family law (Hindu Marriage Act, Special Marriage Act), property disputes, Public Interest Litigations (PILs), consumer protection rights, and navigating the backlog in High Courts and District Courts."
"IAB11-3","U.S. Government Resources","Information regarding US federal services and policies relevant to the Indian demographic. Highly searched in India, covering USCIS guidelines for Indian IT professionals and students, US Embassy and Consulate visa appointments in cities like Delhi and Chennai, FATCA tax compliance for NRIs, and US-India bilateral geopolitical agreements."
"IAB11-4","Politics","Content focused on ideological debates, political parties, and governance. Covers the diverse, multi-party Indian political spectrum, including national parties (BJP, INC) and powerful regional factions (AAP, TMC, DMK). Discusses ideological movements, legislative bills, prime-time television political debates, and the socio-economic impacts of political maneuvering."
"IAB11-5","Campaigns & Elections","Information regarding the democratic electoral process. Details the massive logistical exercise conducted by the Election Commission of India (ECI), encompassing Electronic Voting Machines (EVMs), VVPATs, the Model Code of Conduct, Lok Sabha general elections, state assembly polls, political manifestos, anti-incumbency factors, and exit poll analysis."
"IAB12","News","Comprehensive coverage of current events, journalism, and breaking headlines. In the Indian context, this encompasses the massive television broadcasting sector (NDTV, Aaj Tak, Republic TV), high-circulation print dailies (Times of India, Dainik Jagran, The Hindu), digital-first news platforms (The Print, Newslaundry, Inshorts), and vernacular media covering political, economic, and social developments."
"IAB12-1","International News","Content focusing on global affairs, geopolitics, and foreign policy from an Indian perspective. Covers Ministry of External Affairs (MEA) diplomacy, bilateral relations (US-India ties, Indo-China border dynamics), cross-border security, international trade agreements, the vast NRI diaspora, global summits (G20, BRICS, UNGA), and international crises impacting the Indian economy."
"IAB12-2","National News","Information and reporting on domestic pan-India events and federal governance. Covers central government policies, Prime Minister's Office (PMO) initiatives, Parliament (Lok Sabha and Rajya Sabha) sessions, landmark Supreme Court of India verdicts, national general elections monitored by the ECI, central agency investigations (CBI, ED), and widespread socio-economic developments."
"IAB12-3","Local News","Content dedicated to state, district, city, and municipal-level reporting. Focuses on regional state politics (Vidhan Sabha elections), civic infrastructure and governance (BMC in Mumbai, BBMP in Bengaluru), regional law and order, city-specific monsoon or traffic alerts, state public service commissions, and hyper-local news heavily driven by regional vernacular dailies."
"IAB13","Personal Finance","Comprehensive content covering retail wealth management, individual savings, and personal economics. In India, this encompasses the retail banking sector, the rapid adoption of digital payments (UPI), managing household budgets, navigating inflation, and securing financial stability through regulated frameworks governed by the RBI and SEBI."
"IAB13-1","Beginning Investing","Guidance for first-time retail investors entering the Indian market. Covers foundational financial literacy, opening Demat and trading accounts via discount brokers (Zerodha, Groww, Upstox), understanding the power of compounding, starting micro-SIPs, transitioning from traditional savings to capital markets, and NIFTY 50 Index funds."
"IAB13-2","Credit/Debt & Loans","Information on borrowing, creditworthiness, and debt management. Covers tracking CIBIL/Experian credit scores, navigating retail credit offerings like home loans (SBI, HDFC) and personal loans, managing credit card EMIs, understanding how the RBI Repo Rate affects floating interest rates, and the rise of BNPL (Buy Now Pay Later) and NBFCs."
"IAB13-3","Financial News","Content reporting on capital markets, monetary policies, and corporate earnings. Focuses on Dalal Street updates, Bombay Stock Exchange (BSE) and National Stock Exchange (NSE) indices movements (Sensex, Nifty), RBI bi-monthly policy reviews, macro-economic indicators, and coverage from Indian financial media (Moneycontrol, Mint, CNBC TV18)."
"IAB13-4","Financial Planning","Strategic content for long-term wealth creation and asset allocation. Covers goal-based saving for major Indian life events (children's higher education, marriages), building emergency funds, calculating risk tolerance, family budget optimization, and seeking advice from SEBI-Registered Investment Advisors (RIAs)."
"IAB13-5","Hedge Fund","Information regarding pooled investment structures and alternative assets. In the Indian context, this focuses heavily on Alternative Investment Funds (AIFs) and Portfolio Management Services (PMS) tailored for High Net-Worth Individuals (HNIs) and institutional investors, utilizing complex arbitrage, long-short, and quantitative trading strategies."
"IAB13-6","Insurance","Content focused on risk management and financial protection. Covers the Indian insurance ecosystem regulated by IRDAI. Includes life insurance (traditional LIC endowment policies vs. pure term plans), comprehensive family health insurance (Mediclaim, cashless networks), motor vehicle insurance (third-party liability vs. own damage), and claim settlement ratios."
"IAB13-7","Investing","Broad coverage of various investment asset classes beyond standard equity. Highly relevant to traditional Indian wealth building, covering physical gold vs. Sovereign Gold Bonds (SGBs), real estate investments (REITs), corporate fixed deposits, non-convertible debentures (NCDs), and government-backed Post Office savings schemes."
"IAB13-8","Mutual Funds","Information on professionally managed investment funds. A massively popular wealth-creation tool in India, covering Systematic Investment Plans (SIPs), Asset Management Companies (AMCs) governed by AMFI, active vs. passive (index) funds, direct vs. regular plans, Net Asset Value (NAV), and categories across large-cap, mid-cap, and debt funds."
"IAB13-9","Options","Content regarding financial derivatives and speculative trading. Covers the highly active Indian Futures and Options (F&O) market. Includes trading Call (CE) and Put (PE) options, Nifty and Bank Nifty weekly expiries, understanding lot sizes, SEBI margin requirements, option Greeks (Delta, Theta), and hedging strategies."
"IAB13-10","Retirement Planning","Information on securing financial independence post-employment. Covers the traditional Indian retirement pillars: Employees' Provident Fund (EPFO), Public Provident Fund (PPF), and the National Pension System (NPS). Also includes the Senior Citizen Savings Scheme (SCSS), gratuity calculations, and building a post-retirement annuity corpus."
"IAB13-11","Stocks","Content strictly focused on direct equity investments and corporate shares. Covers evaluating company fundamentals, dividend yields, participating in Initial Public Offerings (IPOs) (such as the recent surge in Indian startup listings), retail stockbroking, holding periods, blue-chip vs. penny stocks, and the T+1 settlement cycle."
"IAB13-12","Tax Planning","Information on tax liabilities, exemptions, and filing. Crucial for the Indian salaried class, covering the Income Tax Act of 1961, choosing between the Old vs. New Tax Regime, utilizing Section 80C deductions (ELSS, PPF, Life Insurance), Section 80D (health insurance), calculating Capital Gains Tax (LTCG/STCG), filing ITR returns, and managing TDS."
"IAB14","Society","Comprehensive content concerning Indian sociology, demographics, and cultural dynamics. Covers shifting societal norms, the transition from traditional multi-generational joint families to modern urban nuclear setups, community values, urbanization, social reforms, civic duties, and the blending of heritage with globalization in modern India."
"IAB14-1","Dating","Content focused on modern romance and courtship. Covers the evolution of dating in India, the massive adoption of dating apps (Bumble, Tinder, Hinge) in tier-1 and tier-2 cities, navigating conservative family boundaries, urban casual dating versus serious courtships, and the emerging concept of 'arranged-cum-love' relationships."
"IAB14-2","Divorce Support","Information regarding legal separation and navigating life post-marriage. Covers the Hindu Marriage Act, mutual consent divorce procedures, alimony and child custody settlements, breaking the deeply entrenched social stigma surrounding divorce in Indian society, single parenting challenges, and seeking legal/psychological counseling."
"IAB14-3","Gay Life","Content focused on LGBTQ+ culture, rights, and lifestyle. Covers the Indian queer movement post the decriminalization of Section 377, Pride marches in metropolitan cities (Delhi, Mumbai, Bengaluru), LGBTQ+ representation in media, the complexities of 'coming out' in traditional Indian households, and queer advocacy."
"IAB14-4","Marriage","Information on the institution of matrimony and domestic partnerships. Covers the traditional Indian arranged marriage ecosystem, the booming digital matrimonial platforms (Shaadi, Jeevansathi, BharatMatrimony), Kundali/horoscope matching (astrological compatibility), and navigating inter-caste and inter-faith marriages under the Special Marriage Act."
"IAB14-5","Senior Living","Content focused on the aging population and geriatric lifestyle. Covers the cultural ethos of filial piety (caring for elderly parents), the rising urban trend of premium assisted living and retirement communities (like Antara), senior citizen social clubs, managing the 'empty-nest' syndrome, and post-retirement community engagement."
"IAB14-6","Teens","Information concerning adolescent life and youth culture. Covers the unique pressures faced by Indian teenagers, balancing immense academic expectations (Board exams, coaching classes) with digital social lives, navigating puberty, addressing the generation gap with traditional parents, and the heavy influence of internet pop culture."
"IAB14-7","Weddings","Content dedicated to the massive 'Big Fat Indian Wedding' industry. Covers elaborate multi-day pre-wedding rituals (Haldi, Mehendi, Sangeet), diverse regional ceremonies (Punjabi Anand Karaj, South Indian Muhurtham), bridal trousseau shopping (lehengas, Kanjeevaram sarees), destination weddings (Rajasthan palaces, Goa), and event logistics."
"IAB14-8","Ethnic Specific","Information related to specific Indian communities, castes, and regional ethnicities. Covers the vast diversity of Indian linguistic, religious, and cultural sub-groups, indigenous tribal heritage (Adivasis), preserving minority languages, regional festivals, caste-based sociological dynamics, and the socio-economic empowerment of marginalized communities."
"IAB15","Science","Comprehensive coverage of the STEM (Science, Technology, Engineering, and Mathematics) ecosystem in India. Encompasses scientific research, academic breakthroughs, and national institutions like CSIR, DRDO, and IISc. Covers funding policies, scientific temper, R&D investments, and India's growing footprint in global scientific literature and innovation."
